ACTION_TYPE,finish_family,creation_family,creation_evidence
Alley Oop Dunk Shot,dunk,drive_cut_or_roll,"explicit driving, cutting, or alley-oop wording"
Alley Oop Layup shot,layup,drive_cut_or_roll,"explicit driving, cutting, or alley-oop wording"
Cutting Dunk Shot,dunk,drive_cut_or_roll,"explicit driving, cutting, or alley-oop wording"
Cutting Finger Roll Layup Shot,layup,drive_cut_or_roll,"explicit driving, cutting, or alley-oop wording"
Cutting Layup Shot,layup,drive_cut_or_roll,"explicit driving, cutting, or alley-oop wording"
Driving Bank Hook Shot,hook,drive_cut_or_roll,"explicit driving, cutting, or alley-oop wording"
Driving Dunk Shot,dunk,drive_cut_or_roll,"explicit driving, cutting, or alley-oop wording"
Driving Finger Roll Layup Shot,layup,drive_cut_or_roll,"explicit driving, cutting, or alley-oop wording"
Driving Floating Bank Jump Shot,floater,drive_cut_or_roll,"explicit driving, cutting, or alley-oop wording"
Driving Floating Jump Shot,floater,drive_cut_or_roll,"explicit driving, cutting, or alley-oop wording"
Driving Hook Shot,hook,drive_cut_or_roll,"explicit driving, cutting, or alley-oop wording"
Driving Layup Shot,layup,drive_cut_or_roll,"explicit driving, cutting, or alley-oop wording"
Driving Reverse Dunk Shot,dunk,drive_cut_or_roll,"explicit driving, cutting, or alley-oop wording"
Driving Reverse Layup Shot,layup,drive_cut_or_roll,"explicit driving, cutting, or alley-oop wording"
Dunk Shot,dunk,other_or_unknown,no explicit supported creation cue
Fadeaway Bank shot,fadeaway_or_turnaround,other_or_unknown,no explicit supported creation cue
Fadeaway Jump Shot,fadeaway_or_turnaround,other_or_unknown,no explicit supported creation cue
Finger Roll Layup Shot,layup,other_or_unknown,no explicit supported creation cue
Floating Jump shot,floater,other_or_unknown,no explicit supported creation cue
Hook Bank Shot,hook,other_or_unknown,no explicit supported creation cue
Hook Shot,hook,other_or_unknown,no explicit supported creation cue
Jump Bank Shot,regular_jumper,other_or_unknown,no explicit supported creation cue
Jump Shot,regular_jumper,other_or_unknown,no explicit supported creation cue
Layup Shot,layup,other_or_unknown,no explicit supported creation cue
Pullup Jump shot,regular_jumper,pull_up_or_self_created,explicit pull-up or step-back wording
Putback Dunk Shot,dunk,putback,explicit putback or tip wording
Putback Layup Shot,layup,putback,explicit putback or tip wording
Reverse Dunk Shot,dunk,other_or_unknown,no explicit supported creation cue
Reverse Layup Shot,layup,other_or_unknown,no explicit supported creation cue
Running Alley Oop Dunk Shot,dunk,drive_cut_or_roll,"explicit driving, cutting, or alley-oop wording"
Running Alley Oop Layup Shot,layup,drive_cut_or_roll,"explicit driving, cutting, or alley-oop wording"
Running Dunk Shot,dunk,other_or_unknown,no explicit supported creation cue
Running Finger Roll Layup Shot,layup,other_or_unknown,no explicit supported creation cue
Running Jump Shot,regular_jumper,other_or_unknown,no explicit supported creation cue
Running Layup Shot,layup,other_or_unknown,no explicit supported creation cue
Running Pull-Up Jump Shot,regular_jumper,pull_up_or_self_created,explicit pull-up or step-back wording
Running Reverse Dunk Shot,dunk,other_or_unknown,no explicit supported creation cue
Running Reverse Layup Shot,layup,other_or_unknown,no explicit supported creation cue
Step Back Bank Jump Shot,step_back,pull_up_or_self_created,explicit pull-up or step-back wording
Step Back Jump shot,step_back,pull_up_or_self_created,explicit pull-up or step-back wording
Tip Dunk Shot,dunk,putback,explicit putback or tip wording
Tip Layup Shot,layup,putback,explicit putback or tip wording
Turnaround Bank Hook Shot,hook,other_or_unknown,no explicit supported creation cue
Turnaround Bank shot,fadeaway_or_turnaround,other_or_unknown,no explicit supported creation cue
Turnaround Fadeaway Bank Jump Shot,fadeaway_or_turnaround,other_or_unknown,no explicit supported creation cue
Turnaround Fadeaway shot,fadeaway_or_turnaround,other_or_unknown,no explicit supported creation cue
Turnaround Hook Shot,hook,other_or_unknown,no explicit supported creation cue
Turnaround Jump Shot,fadeaway_or_turnaround,other_or_unknown,no explicit supported creation cue
