season,finish_family,player_seasons,player_seasons_10_plus,player_seasons_25_plus,player_seasons_50_plus,median_attempts,p90_attempts,maximum_attempts
2021-22,dunk,463,257,147,82,13,71.80000000000001,251
2021-22,fadeaway_or_turnaround,487,217,118,61,8,67,323
2021-22,floater,515,318,200,110,16,81.60000000000002,369
2021-22,hook,414,123,68,30,5,40.69999999999999,203
2021-22,layup,573,478,409,345,74,236.60000000000014,589
2021-22,regular_jumper,576,481,433,376,116.5,453.5,811
2021-22,step_back,429,198,119,62,8,72.19999999999999,341
2022-23,dunk,437,258,157,86,14,78.40000000000003,226
2022-23,fadeaway_or_turnaround,433,214,120,63,9,72,224
2022-23,floater,488,325,217,122,20,91.30000000000001,402
2022-23,hook,415,142,69,37,5,41,210
2022-23,layup,523,454,397,325,78,261.8,566
2022-23,regular_jumper,530,458,396,351,133,450,885
2022-23,step_back,397,211,110,67,12,68,329
2023-24,dunk,465,266,157,81,12,79,271
2023-24,fadeaway_or_turnaround,448,213,122,71,8,69.30000000000001,250
2023-24,floater,512,324,214,131,18,95.90000000000003,369
2023-24,hook,400,137,67,33,5,44.200000000000045,241
2023-24,layup,554,462,384,324,71.5,268,771
2023-24,regular_jumper,553,457,410,357,111,438.8,867
2023-24,step_back,421,207,125,64,9,67,539
2024-25,dunk,459,268,167,90,14,77,271
2024-25,fadeaway_or_turnaround,470,213,118,55,8,57,309
2024-25,floater,524,354,234,140,20,98,380
2024-25,hook,416,126,59,28,4,38,351
2024-25,layup,553,476,410,339,76,249.8,568
2024-25,regular_jumper,555,480,434,373,118,431.6,831
2024-25,step_back,419,232,129,74,12,74.39999999999998,421
2025-26,dunk,477,286,170,85,14,75.40000000000003,218
2025-26,fadeaway_or_turnaround,466,222,127,60,8,58.5,253
2025-26,floater,526,351,233,132,19,92.5,265
2025-26,hook,430,133,62,26,4,33,266
2025-26,layup,573,481,420,352,73,233.60000000000014,543
2025-26,regular_jumper,571,484,441,391,128,435,855
2025-26,step_back,433,231,138,60,11,61,370
