season,qualifier,events,outcome_leakage
2021-22,made_result,100066,TRUE
2021-22,missed_result,116891,TRUE
2021-22,assist_named_in_description,60715,TRUE
2021-22,three_point_named_in_description,78610,FALSE
2021-22,distance_named_in_description,143765,FALSE
2021-22,heave_label,0,FALSE
2021-22,no_shot_default_label,3,FALSE
2022-23,made_result,103393,TRUE
2022-23,missed_result,114023,TRUE
2022-23,assist_named_in_description,62359,TRUE
2022-23,three_point_named_in_description,75439,FALSE
2022-23,distance_named_in_description,141727,FALSE
2022-23,heave_label,0,FALSE
2022-23,no_shot_default_label,5,FALSE
2023-24,made_result,103982,TRUE
2023-24,missed_result,115177,TRUE
2023-24,assist_named_in_description,65758,TRUE
2023-24,three_point_named_in_description,76807,FALSE
2023-24,distance_named_in_description,158546,FALSE
2023-24,heave_label,0,FALSE
2023-24,no_shot_default_label,5,FALSE
2024-25,made_result,102721,TRUE
2024-25,missed_result,117152,TRUE
2024-25,assist_named_in_description,65405,TRUE
2024-25,three_point_named_in_description,89538,FALSE
2024-25,distance_named_in_description,161016,FALSE
2024-25,heave_label,0,FALSE
2024-25,no_shot_default_label,4,FALSE
2025-26,made_result,103346,TRUE
2025-26,missed_result,117196,TRUE
2025-26,assist_named_in_description,65842,TRUE
2025-26,three_point_named_in_description,83890,FALSE
2025-26,distance_named_in_description,161158,FALSE
2025-26,heave_label,1099,FALSE
2025-26,no_shot_default_label,2,FALSE
