season,type_text,events,share
2021-22,3-Second Turnover,199,3.462236395933699e-4
2021-22,5-Second Back to the Basket Turnover,2,3.479634568777587e-6
2021-22,5-Second Turnover,49,8.525104693505089e-5
2021-22,8-Second Turnover,37,6.437323952238535e-5
2021-22,Alley Oop Dunk Shot,1852,0.0032221416106880457
2021-22,Alley Oop Layup Shot,923,0.0016058513534908563
2021-22,Away from Play Foul,98,1.7050209387010177e-4
2021-22,Back Court Turnover,216,3.758005334279794e-4
2021-22,"Bad Pass
Turnover",12305,0.021408451684404105
2021-22,Basket from Below Turnover,4,6.959269137555174e-6
2021-22,Challenge,176,3.0620784205242764e-4
2021-22,Clear Path Foul,72,1.2526684447599314e-4
2021-22,Coach's Challenge (Overturned),338,5.880582421234122e-4
2021-22,Coach's Challenge (Stands),205,3.5666254329970264e-4
2021-22,Coach's Challenge (Supported),169,2.940291210617061e-4
2021-22,Cutting Dunk Shot,3126,0.005438668830999368
2021-22,Cutting Finger Roll Layup Shot,673,0.001170897032393658
2021-22,Cutting Layup Shot,5284,0.009193194530710385
2021-22,Defensive 3-Seconds Technical,414,7.202843557369605e-4
2021-22,Defensive Goaltending,509,8.855669977538958e-4
2021-22,Defensive Rebound,89096,0.15501076076990394
2021-22,Delay Technical,46,8.00315950818845e-5
2021-22,Delay of Game,602,0.0010473700052020536
2021-22,Disc Dribble Turnover,43,7.481214322871813e-5
2021-22,Double Dribble Turnover,78,1.357057481823259e-4
2021-22,Double Lane,6,1.0438903706332761e-5
2021-22,Double Personal Foul,19,3.3056528403387075e-5
2021-22,Double Technical Foul,78,1.357057481823259e-4
2021-22,Driving Dunk Shot,1770,0.0030794765933681643
2021-22,Driving Finger Roll Layup,5051,0.008787817103447795
2021-22,Driving Floating Bank Jump Shot,2084,0.0036257792206662457
2021-22,Driving Floating Jump Shot,9586,0.016677888488150973
2021-22,Driving Hook Shot,1245,0.002166072519064048
2021-22,Driving Jump Shot Bank,517,8.994855360290062e-4
2021-22,Driving Layup Shot,18944,0.0329590986354613
2021-22,Driving Reverse Dunk Shot,44,7.655196051310691e-5
2021-22,Dunk Shot,1801,0.003133410929184217
2021-22,Ejection,94,1.6354282473254658e-4
2021-22,End Game,1231,0.002141715077082605
2021-22,End Period,4991,0.008683428066384469
2021-22,Excess Timeout Technical,1,1.7398172843887935e-6
2021-22,Excess Timeout Turnover,1,1.7398172843887935e-6
2021-22,Fade Away Bank Jump Shot,144,2.505336889519863e-4
2021-22,Fade Away Jump Shot,4037,0.007023642377077559
2021-22,Finger Roll Layup,429,7.463816150027924e-4
2021-22,Flagrant Foul Type 1,167,2.905494864929285e-4
2021-22,Flagrant Foul Type 2,16,2.7837076550220696e-5
2021-22,Floating Jump Shot,4834,0.008410276752735427
2021-22,Free Throw - 1 of 1,5845,0.010169232027252497
2021-22,Free Throw - 1 of 2,21931,0.03815593286393063
2021-22,Free Throw - 1 of 3,709,0.0012335304546316546
2021-22,Free Throw - 2 of 2,21917,0.038131575421949185
2021-22,Free Throw - 2 of 3,709,0.0012335304546316546
2021-22,Free Throw - 3 of 3,709,0.0012335304546316546
2021-22,Free Throw - Clear Path 1 of 2,72,1.2526684447599314e-4
2021-22,Free Throw - Clear Path 2 of 2,72,1.2526684447599314e-4
2021-22,Free Throw - Flagrant 1 of 1,14,2.435744198144311e-5
2021-22,Free Throw - Flagrant 1 of 2,146,2.5401332352076387e-4
2021-22,Free Throw - Flagrant 1 of 3,22,3.8275980256553455e-5
2021-22,Free Throw - Flagrant 2 of 2,146,2.5401332352076387e-4
2021-22,Free Throw - Flagrant 2 of 3,22,3.8275980256553455e-5
2021-22,Free Throw - Flagrant 3 of 3,22,3.8275980256553455e-5
2021-22,Free Throw - Technical,1452,0.0025262146969325283
2021-22,Full Timeout,13212,0.02298646596134474
2021-22,Hanging Technical Foul,4,6.959269137555174e-6
2021-22,Hook Driving Bank,232,4.036376099782001e-4
2021-22,Hook Shot,2135,0.0037145099021700743
2021-22,Hook Shot Bank,149,2.5923277537393024e-4
2021-22,Hook Turnaround Bank,161,2.8011058278659576e-4
2021-22,Illegal Assist Turnover,14,2.435744198144311e-5
2021-22,Inbound Turnover,20,3.479634568777587e-5
2021-22,Jump Ball,17,2.957689383460949e-5
2021-22,Jump Shot,70995,0.12351832810518239
2021-22,Jump Shot Bank,546,9.499402372762812e-4
2021-22,Jumpball,2190,0.0038101998528114575
2021-22,Jumpball Violation Turnover,2,3.479634568777587e-6
2021-22,Kicked Ball,912,0.0015867133633625796
2021-22,Kicked Ball Turnover,23,4.001579754094225e-5
2021-22,Lane,64,1.1134830620088278e-4
2021-22,Lane Violation Turnover,14,2.435744198144311e-5
2021-22,Layup Driving Reverse,1985,0.003453537309511755
2021-22,Layup Running Reverse,474,8.246733928002881e-4
2021-22,Layup Shot,7987,0.013895920650413294
2021-22,Layup Shot Putback,3316,0.005769234115033239
2021-22,Loose Ball Foul,2696,0.004690547398712187
2021-22,Lost Ball Turnover,6696,0.01164981653626736
2021-22,No Shot (Default Shot),3,5.2194518531663805e-6
2021-22,No Turnover,46,8.00315950818845e-5
2021-22,Not Available,25,4.3495432109719835e-5
2021-22,Offensive Charge,1105,0.001922498099249617
2021-22,Offensive Foul,2972,0.005170736969203494
2021-22,Offensive Foul Turnover,4077,0.007093235068453111
2021-22,Offensive Goaltending Turnover,133,2.3139569882370953e-4
2021-22,Offensive Rebound,39919,0.06945176617551625
2021-22,Out of Bounds - Bad Pass Turnover,3919,0.006818343937519682
