ACTION_TYPE,creation_family,finish_family,seasons_present,first_season,last_season,total_shots,minimum_season_shots,maximum_season_shots,missing_seasons,drift_flag
Jump Shot,other_or_unknown,regular_jumper,5,2021-22,2025-26,325492,63033,70930,0,present_all_five
Pullup Jump shot,pull_up_or_self_created,regular_jumper,5,2021-22,2025-26,131205,25568,27215,0,present_all_five
Driving Layup Shot,drive_cut_or_roll,layup,5,2021-22,2025-26,96436,18930,19826,0,present_all_five
Driving Floating Jump Shot,drive_cut_or_roll,floater,5,2021-22,2025-26,57971,9586,13437,0,present_all_five
Step Back Jump shot,pull_up_or_self_created,step_back,5,2021-22,2025-26,55459,10310,12361,0,present_all_five
Running Layup Shot,other_or_unknown,layup,5,2021-22,2025-26,34540,5152,7892,0,present_all_five
Driving Finger Roll Layup Shot,drive_cut_or_roll,layup,5,2021-22,2025-26,28557,5048,6143,0,present_all_five
Cutting Layup Shot,drive_cut_or_roll,layup,5,2021-22,2025-26,27017,5189,5811,0,present_all_five
Running Jump Shot,other_or_unknown,regular_jumper,5,2021-22,2025-26,26446,2944,6853,0,present_all_five
Layup Shot,other_or_unknown,layup,5,2021-22,2025-26,25807,3149,7977,0,present_all_five
Tip Layup Shot,putback,layup,5,2021-22,2025-26,23400,4459,4867,0,present_all_five
Fadeaway Jump Shot,other_or_unknown,fadeaway_or_turnaround,5,2021-22,2025-26,20202,3900,4265,0,present_all_five
Floating Jump shot,other_or_unknown,floater,5,2021-22,2025-26,19981,3091,4836,0,present_all_five
Putback Layup Shot,putback,layup,5,2021-22,2025-26,18182,3314,3871,0,present_all_five
Turnaround Fadeaway shot,other_or_unknown,fadeaway_or_turnaround,5,2021-22,2025-26,16447,2976,3502,0,present_all_five
Driving Floating Bank Jump Shot,drive_cut_or_roll,floater,5,2021-22,2025-26,16264,2596,3678,0,present_all_five
Cutting Dunk Shot,drive_cut_or_roll,dunk,5,2021-22,2025-26,15894,3017,3341,0,present_all_five
Running Pull-Up Jump Shot,pull_up_or_self_created,regular_jumper,5,2021-22,2025-26,14057,1806,3437,0,present_all_five
Turnaround Jump Shot,other_or_unknown,fadeaway_or_turnaround,5,2021-22,2025-26,13982,2268,3080,0,present_all_five
Running Dunk Shot,other_or_unknown,dunk,5,2021-22,2025-26,13606,2192,3067,0,present_all_five
Turnaround Hook Shot,other_or_unknown,hook,5,2021-22,2025-26,11914,2243,2546,0,present_all_five
Driving Reverse Layup Shot,drive_cut_or_roll,layup,5,2021-22,2025-26,10775,1986,2345,0,present_all_five
Driving Dunk Shot,drive_cut_or_roll,dunk,5,2021-22,2025-26,10014,1760,2231,0,present_all_five
Alley Oop Dunk Shot,drive_cut_or_roll,dunk,5,2021-22,2025-26,8506,1558,1845,0,present_all_five
Hook Shot,other_or_unknown,hook,5,2021-22,2025-26,8134,979,2135,0,present_all_five
Driving Hook Shot,drive_cut_or_roll,hook,5,2021-22,2025-26,7834,1245,1796,0,present_all_five
Running Finger Roll Layup Shot,other_or_unknown,layup,5,2021-22,2025-26,7723,1207,1727,0,present_all_five
Dunk Shot,other_or_unknown,dunk,5,2021-22,2025-26,7151,1101,1796,0,present_all_five
Reverse Layup Shot,other_or_unknown,layup,5,2021-22,2025-26,6123,975,1419,0,present_all_five
Tip Dunk Shot,putback,dunk,5,2021-22,2025-26,4053,720,842,0,present_all_five
Alley Oop Layup shot,drive_cut_or_roll,layup,5,2021-22,2025-26,4041,764,924,0,present_all_five
Cutting Finger Roll Layup Shot,drive_cut_or_roll,layup,5,2021-22,2025-26,3442,645,742,0,present_all_five
Running Reverse Layup Shot,other_or_unknown,layup,5,2021-22,2025-26,2954,472,640,0,present_all_five
Running Alley Oop Dunk Shot,drive_cut_or_roll,dunk,5,2021-22,2025-26,2736,376,706,0,present_all_five
Putback Dunk Shot,putback,dunk,5,2021-22,2025-26,2608,494,560,0,present_all_five
Jump Bank Shot,other_or_unknown,regular_jumper,5,2021-22,2025-26,2154,370,546,0,present_all_five
Finger Roll Layup Shot,other_or_unknown,layup,5,2021-22,2025-26,1777,275,429,0,present_all_five
Driving Bank Hook Shot,drive_cut_or_roll,hook,5,2021-22,2025-26,1619,232,393,0,present_all_five
Turnaround Bank shot,other_or_unknown,fadeaway_or_turnaround,4,2022-23,2025-26,1215,243,361,1,season_presence_changed
Turnaround Bank Hook Shot,other_or_unknown,hook,5,2021-22,2025-26,1030,161,239,0,present_all_five
Turnaround Fadeaway Bank Jump Shot,other_or_unknown,fadeaway_or_turnaround,5,2021-22,2025-26,998,100,563,0,present_all_five
Running Alley Oop Layup Shot,drive_cut_or_roll,layup,5,2021-22,2025-26,945,127,240,0,present_all_five
Fadeaway Bank shot,other_or_unknown,fadeaway_or_turnaround,4,2022-23,2025-26,739,147,218,1,season_presence_changed
Hook Bank Shot,other_or_unknown,hook,5,2021-22,2025-26,610,82,149,0,present_all_five
Reverse Dunk Shot,other_or_unknown,dunk,5,2021-22,2025-26,537,82,127,0,present_all_five
Step Back Bank Jump Shot,pull_up_or_self_created,step_back,5,2021-22,2025-26,379,65,82,0,present_all_five
Driving Reverse Dunk Shot,drive_cut_or_roll,dunk,5,2021-22,2025-26,206,38,45,0,present_all_five
Running Reverse Dunk Shot,other_or_unknown,dunk,5,2021-22,2025-26,167,24,39,0,present_all_five
