season,linkage_class,candidate_sequences,share
2021-22,ambiguous_or_unrelated,4074,0.13380189174986862
2021-22,excluded_special_or_nonshooting_foul,3358,0.11028638991066737
2021-22,unambiguous_and_one,5636,0.18510246978455072
2021-22,unambiguous_shooting_foul_trip,17380,0.5708092485549133
2022-23,ambiguous_or_unrelated,4088,0.12401031396936145
2022-23,excluded_special_or_nonshooting_foul,3102,0.09409980282117397
2022-23,unambiguous_and_one,6487,0.19678446837554983
2022-23,unambiguous_shooting_foul_trip,19288,0.5851054148339148
2023-24,ambiguous_or_unrelated,3562,0.11695560809035986
2023-24,excluded_special_or_nonshooting_foul,2911,0.09558050958760178
2023-24,unambiguous_and_one,5919,0.1943459416863672
2023-24,unambiguous_shooting_foul_trip,18064,0.5931179406356711
2024-25,ambiguous_or_unrelated,3613,0.12091700133868809
2024-25,excluded_special_or_nonshooting_foul,2356,0.07884872824631861
2024-25,unambiguous_and_one,5503,0.18417001338688085
2024-25,unambiguous_shooting_foul_trip,18408,0.6160642570281124
2025-26,ambiguous_or_unrelated,4282,0.1324835246434207
2025-26,excluded_special_or_nonshooting_foul,2608,0.08069057269267658
2025-26,unambiguous_and_one,5789,0.17910955725379785
2025-26,unambiguous_shooting_foul_trip,19642,0.6077163454101049
