season,source,field,storage_type,rows,missing_rows,missing_pct
2021-22,NBA ShotChartDetail local extract,GRID_TYPE,character,216722,0,0
2021-22,NBA ShotChartDetail local extract,GAME_ID,character,216722,0,0
2021-22,NBA ShotChartDetail local extract,GAME_EVENT_ID,integer,216722,0,0
2021-22,NBA ShotChartDetail local extract,PLAYER_ID,integer,216722,0,0
2021-22,NBA ShotChartDetail local extract,PLAYER_NAME,character,216722,0,0
2021-22,NBA ShotChartDetail local extract,TEAM_ID,integer,216722,0,0
2021-22,NBA ShotChartDetail local extract,TEAM_NAME,character,216722,0,0
2021-22,NBA ShotChartDetail local extract,PERIOD,integer,216722,0,0
2021-22,NBA ShotChartDetail local extract,MINUTES_REMAINING,integer,216722,0,0
2021-22,NBA ShotChartDetail local extract,SECONDS_REMAINING,integer,216722,0,0
2021-22,NBA ShotChartDetail local extract,EVENT_TYPE,character,216722,0,0
2021-22,NBA ShotChartDetail local extract,ACTION_TYPE,character,216722,0,0
2021-22,NBA ShotChartDetail local extract,SHOT_TYPE,character,216722,0,0
2021-22,NBA ShotChartDetail local extract,SHOT_ZONE_BASIC,character,216722,0,0
2021-22,NBA ShotChartDetail local extract,SHOT_ZONE_AREA,character,216722,0,0
2021-22,NBA ShotChartDetail local extract,SHOT_ZONE_RANGE,character,216722,0,0
2021-22,NBA ShotChartDetail local extract,SHOT_DISTANCE,integer,216722,0,0
2021-22,NBA ShotChartDetail local extract,LOC_X,integer,216722,0,0
2021-22,NBA ShotChartDetail local extract,LOC_Y,integer,216722,0,0
2021-22,NBA ShotChartDetail local extract,SHOT_ATTEMPTED_FLAG,integer,216722,0,0
2021-22,NBA ShotChartDetail local extract,SHOT_MADE_FLAG,integer,216722,0,0
2021-22,NBA ShotChartDetail local extract,GAME_DATE,character,216722,0,0
2021-22,NBA ShotChartDetail local extract,HTM,character,216722,0,0
2021-22,NBA ShotChartDetail local extract,VTM,character,216722,0,0
2022-23,NBA ShotChartDetail local extract,GRID_TYPE,character,217220,0,0
2022-23,NBA ShotChartDetail local extract,GAME_ID,character,217220,0,0
2022-23,NBA ShotChartDetail local extract,GAME_EVENT_ID,integer,217220,0,0
2022-23,NBA ShotChartDetail local extract,PLAYER_ID,integer,217220,0,0
2022-23,NBA ShotChartDetail local extract,PLAYER_NAME,character,217220,0,0
2022-23,NBA ShotChartDetail local extract,TEAM_ID,integer,217220,0,0
2022-23,NBA ShotChartDetail local extract,TEAM_NAME,character,217220,0,0
2022-23,NBA ShotChartDetail local extract,PERIOD,integer,217220,0,0
2022-23,NBA ShotChartDetail local extract,MINUTES_REMAINING,integer,217220,0,0
2022-23,NBA ShotChartDetail local extract,SECONDS_REMAINING,integer,217220,0,0
2022-23,NBA ShotChartDetail local extract,EVENT_TYPE,character,217220,0,0
2022-23,NBA ShotChartDetail local extract,ACTION_TYPE,character,217220,0,0
2022-23,NBA ShotChartDetail local extract,SHOT_TYPE,character,217220,0,0
2022-23,NBA ShotChartDetail local extract,SHOT_ZONE_BASIC,character,217220,0,0
2022-23,NBA ShotChartDetail local extract,SHOT_ZONE_AREA,character,217220,0,0
2022-23,NBA ShotChartDetail local extract,SHOT_ZONE_RANGE,character,217220,0,0
2022-23,NBA ShotChartDetail local extract,SHOT_DISTANCE,integer,217220,0,0
2022-23,NBA ShotChartDetail local extract,LOC_X,integer,217220,0,0
2022-23,NBA ShotChartDetail local extract,LOC_Y,integer,217220,0,0
2022-23,NBA ShotChartDetail local extract,SHOT_ATTEMPTED_FLAG,integer,217220,0,0
2022-23,NBA ShotChartDetail local extract,SHOT_MADE_FLAG,integer,217220,0,0
2022-23,NBA ShotChartDetail local extract,GAME_DATE,character,217220,0,0
2022-23,NBA ShotChartDetail local extract,HTM,character,217220,0,0
2022-23,NBA ShotChartDetail local extract,VTM,character,217220,0,0
2023-24,NBA ShotChartDetail local extract,GRID_TYPE,character,218700,0,0
2023-24,NBA ShotChartDetail local extract,GAME_ID,character,218700,0,0
2023-24,NBA ShotChartDetail local extract,GAME_EVENT_ID,integer,218700,0,0
2023-24,NBA ShotChartDetail local extract,PLAYER_ID,integer,218700,0,0
2023-24,NBA ShotChartDetail local extract,PLAYER_NAME,character,218700,0,0
2023-24,NBA ShotChartDetail local extract,TEAM_ID,integer,218700,0,0
2023-24,NBA ShotChartDetail local extract,TEAM_NAME,character,218700,0,0
2023-24,NBA ShotChartDetail local extract,PERIOD,integer,218700,0,0
2023-24,NBA ShotChartDetail local extract,MINUTES_REMAINING,integer,218700,0,0
2023-24,NBA ShotChartDetail local extract,SECONDS_REMAINING,integer,218700,0,0
2023-24,NBA ShotChartDetail local extract,EVENT_TYPE,character,218700,0,0
2023-24,NBA ShotChartDetail local extract,ACTION_TYPE,character,218700,0,0
2023-24,NBA ShotChartDetail local extract,SHOT_TYPE,character,218700,0,0
2023-24,NBA ShotChartDetail local extract,SHOT_ZONE_BASIC,character,218700,0,0
2023-24,NBA ShotChartDetail local extract,SHOT_ZONE_AREA,character,218700,0,0
2023-24,NBA ShotChartDetail local extract,SHOT_ZONE_RANGE,character,218700,0,0
2023-24,NBA ShotChartDetail local extract,SHOT_DISTANCE,integer,218700,0,0
2023-24,NBA ShotChartDetail local extract,LOC_X,integer,218700,0,0
2023-24,NBA ShotChartDetail local extract,LOC_Y,integer,218700,0,0
2023-24,NBA ShotChartDetail local extract,SHOT_ATTEMPTED_FLAG,integer,218700,0,0
2023-24,NBA ShotChartDetail local extract,SHOT_MADE_FLAG,integer,218700,0,0
2023-24,NBA ShotChartDetail local extract,GAME_DATE,character,218700,0,0
2023-24,NBA ShotChartDetail local extract,HTM,character,218700,0,0
