season,dimension,family,player_seasons,player_seasons_10_plus,player_seasons_25_plus,player_seasons_50_plus,median_attempts,p90_attempts,maximum_attempts
2021-22,creation,drive_cut_or_roll,565,467,394,318,65,231.60000000000002,575
2021-22,creation,other_or_unknown,590,516,473,423,149.5,466,895
2021-22,creation,pull_up_or_self_created,527,341,265,194,25,235,653
2021-22,creation,putback,483,224,119,44,9,47.80000000000001,146
2021-22,finish,dunk,463,257,147,82,13,71.80000000000001,251
2021-22,finish,fadeaway_or_turnaround,487,217,118,61,8,67,323
2021-22,finish,floater,515,318,200,110,16,81.60000000000002,369
2021-22,finish,hook,414,123,68,30,5,40.69999999999999,203
2021-22,finish,layup,573,478,409,345,74,236.60000000000014,589
2021-22,finish,regular_jumper,576,481,433,376,116.5,453.5,811
2021-22,finish,step_back,429,198,119,62,8,72.19999999999999,341
2022-23,creation,drive_cut_or_roll,526,445,385,315,72,278,620
2022-23,creation,other_or_unknown,535,495,443,401,161,447,887
2022-23,creation,pull_up_or_self_created,483,327,251,200,28,261.6,551
2022-23,creation,putback,469,245,132,53,10,54,142
2022-23,finish,dunk,437,258,157,86,14,78.40000000000003,226
2022-23,finish,fadeaway_or_turnaround,433,214,120,63,9,72,224
2022-23,finish,floater,488,325,217,122,20,91.30000000000001,402
2022-23,finish,hook,415,142,69,37,5,41,210
2022-23,finish,layup,523,454,397,325,78,261.8,566
2022-23,finish,regular_jumper,530,458,396,351,133,450,885
2022-23,finish,step_back,397,211,110,67,12,68,329
2023-24,creation,drive_cut_or_roll,556,445,375,300,61.5,269,728
2023-24,creation,other_or_unknown,562,513,447,400,144,467.50000000000017,895
2023-24,creation,pull_up_or_self_created,491,345,252,195,26,241,719
2023-24,creation,putback,489,245,119,55,10,54.19999999999999,176
2023-24,finish,dunk,465,266,157,81,12,79,271
2023-24,finish,fadeaway_or_turnaround,448,213,122,71,8,69.30000000000001,250
2023-24,finish,floater,512,324,214,131,18,95.90000000000003,369
2023-24,finish,hook,400,137,67,33,5,44.200000000000045,241
2023-24,finish,layup,554,462,384,324,71.5,268,771
2023-24,finish,regular_jumper,553,457,410,357,111,438.8,867
2023-24,finish,step_back,421,207,125,64,9,67,539
2024-25,creation,drive_cut_or_roll,556,473,408,336,74,277,588
2024-25,creation,other_or_unknown,563,519,468,419,150,420,802
2024-25,creation,pull_up_or_self_created,499,351,269,201,31,239.39999999999998,771
2024-25,creation,putback,489,262,124,53,10,53.19999999999999,173
2024-25,finish,dunk,459,268,167,90,14,77,271
2024-25,finish,fadeaway_or_turnaround,470,213,118,55,8,57,309
2024-25,finish,floater,524,354,234,140,20,98,380
2024-25,finish,hook,416,126,59,28,4,38,351
2024-25,finish,layup,553,476,410,339,76,249.8,568
2024-25,finish,regular_jumper,555,480,434,373,118,431.6,831
2024-25,finish,step_back,419,232,129,74,12,74.39999999999998,421
2025-26,creation,drive_cut_or_roll,569,479,417,347,73,260.4000000000003,557
2025-26,creation,other_or_unknown,580,520,476,428,154.5,426.1,679
2025-26,creation,pull_up_or_self_created,512,366,273,222,32.5,207,632
2025-26,creation,putback,511,261,124,60,10,53,159
2025-26,finish,dunk,477,286,170,85,14,75.40000000000003,218
2025-26,finish,fadeaway_or_turnaround,466,222,127,60,8,58.5,253
2025-26,finish,floater,526,351,233,132,19,92.5,265
2025-26,finish,hook,430,133,62,26,4,33,266
2025-26,finish,layup,573,481,420,352,73,233.60000000000014,543
2025-26,finish,regular_jumper,571,484,441,391,128,435,855
2025-26,finish,step_back,433,231,138,60,11,61,370
