review_stratum,population_rows,selected_rows
season_2021_22,216722,8
season_2022_23,217220,8
made,203190,8
missed,230752,8
two_point,263243,8
three_point,170699,8
finish_dunk,25606,8
finish_layup,116196,8
finish_floater,35951,8
finish_hook,12908,8
finish_regular_jumper,201119,8
finish_fadeaway_turnaround,21243,8
finish_step_back,20919,8
creation_drive_cut_roll,111684,8
creation_pull_up_self_created,78790,8
creation_putback,18603,8
creation_other_unknown,224865,8
rare_raw_labels,1964,8
ambiguous_join,560,8
unmatched_event,47773,8
close_clock_collision,704,8
and_one_candidate,10730,8
heave_or_unusual_description,6,6
coordinate_disagreement,35,8
point_value_disagreement,10,8
