season,raw_action_type,finish_family,creation_family,shots,share
2021-22,Alley Oop Dunk Shot,dunk,drive_cut_or_roll,1845,0.008513210472402433
2021-22,Alley Oop Layup shot,layup,drive_cut_or_roll,924,0.004263526545528373
2021-22,Cutting Dunk Shot,dunk,drive_cut_or_roll,3121,0.014400937606703518
2021-22,Cutting Finger Roll Layup Shot,layup,drive_cut_or_roll,672,0.0031007465785660893
2021-22,Cutting Layup Shot,layup,drive_cut_or_roll,5282,0.02437223724402691
2021-22,Driving Bank Hook Shot,hook,drive_cut_or_roll,232,0.0010704958426001974
2021-22,Driving Dunk Shot,dunk,drive_cut_or_roll,1760,0.008121002943863568
2021-22,Driving Finger Roll Layup Shot,layup,drive_cut_or_roll,5048,0.023292512988990505
2021-22,Driving Floating Bank Jump Shot,floater,drive_cut_or_roll,2596,0.01197847934219876
2021-22,Driving Floating Jump Shot,floater,drive_cut_or_roll,9586,0.04423178080674781
2021-22,Driving Hook Shot,hook,drive_cut_or_roll,1245,0.005744686741539853
2021-22,Driving Layup Shot,layup,drive_cut_or_roll,18944,0.08741152259576784
2021-22,Driving Reverse Dunk Shot,dunk,drive_cut_or_roll,43,1.9841086737848487e-4
2021-22,Driving Reverse Layup Shot,layup,drive_cut_or_roll,1986,0.00916381354915514
2021-22,Dunk Shot,dunk,other_or_unknown,1796,0.008287114367715322
2021-22,Fadeaway Jump Shot,fadeaway_or_turnaround,other_or_unknown,4031,0.01859986526517843
2021-22,Finger Roll Layup Shot,layup,other_or_unknown,429,0.0019794944675667445
2021-22,Floating Jump shot,floater,other_or_unknown,4836,0.02231430127075239
2021-22,Hook Bank Shot,hook,other_or_unknown,149,6.875167264975406e-4
2021-22,Hook Shot,hook,other_or_unknown,2135,0.00985133027565268
2021-22,Jump Bank Shot,regular_jumper,other_or_unknown,546,0.0025193565950849474
2021-22,Jump Shot,regular_jumper,other_or_unknown,70930,0.32728564705013796
2021-22,Layup Shot,layup,other_or_unknown,7977,0.036807523001818
2021-22,Pullup Jump shot,regular_jumper,pull_up_or_self_created,26249,0.12111829901901976
2021-22,Putback Dunk Shot,dunk,putback,518,0.002390158820978027
2021-22,Putback Layup Shot,layup,putback,3314,0.015291479406797648
2021-22,Reverse Dunk Shot,dunk,other_or_unknown,125,5.767757772630374e-4
2021-22,Reverse Layup Shot,layup,other_or_unknown,1419,0.006547558623490001
2021-22,Running Alley Oop Dunk Shot,dunk,drive_cut_or_roll,376,0.0017349415380072165
2021-22,Running Alley Oop Layup Shot,layup,drive_cut_or_roll,127,5.86004189699246e-4
2021-22,Running Dunk Shot,dunk,other_or_unknown,2192,0.010114340030084625
2021-22,Running Finger Roll Layup Shot,layup,other_or_unknown,1207,0.005569346905251889
2021-22,Running Jump Shot,regular_jumper,other_or_unknown,2944,0.013584223106099058
2021-22,Running Layup Shot,layup,other_or_unknown,5152,0.023772390435673352
2021-22,Running Pull-Up Jump Shot,regular_jumper,pull_up_or_self_created,1806,0.008333256429896366
2021-22,Running Reverse Dunk Shot,dunk,other_or_unknown,32,1.4765459897933758e-4
