season,dimension,family,shots,share
2021-22,creation,drive_cut_or_roll,53787,0.24818430985317597
2021-22,creation,other_or_unknown,115482,0.5328577624791208
2021-22,creation,pull_up_or_self_created,38442,0.17737931543636548
2021-22,creation,putback,9011,0.041578612231337846
2021-22,finish,dunk,12528,0.05780677550041066
2021-22,finish,fadeaway_or_turnaround,10650,0.04914129622281079
2021-22,finish,floater,17018,0.07852456141969896
2021-22,finish,hook,6252,0.02884801727558808
2021-22,finish,layup,57412,0.26491080739380407
2021-22,finish,regular_jumper,102475,0.4728407822002381
2021-22,finish,step_back,10387,0.04792775998744936
2022-23,creation,drive_cut_or_roll,57897,0.2665362305496731
2022-23,creation,other_or_unknown,109383,0.5035586041800939
2022-23,creation,pull_up_or_self_created,40348,0.18574716876898997
2022-23,creation,putback,9592,0.04415799650124298
2022-23,finish,dunk,13078,0.06020624251910506
2022-23,finish,fadeaway_or_turnaround,10593,0.04876622778749655
2022-23,finish,floater,18933,0.08716048246017861
2022-23,finish,hook,6656,0.03064174569560814
2022-23,finish,layup,58784,0.2706196482828469
2022-23,finish,regular_jumper,98644,0.4541202467544425
2022-23,finish,step_back,10532,0.04848540650032225
