taxonomy_version,ACTION_TYPE,finish_family,creation_family,creation_evidence
context_taxonomy_v0.1.0,Alley Oop Dunk Shot,dunk,drive_cut_or_roll,"explicit driving, cutting, or alley-oop wording"
context_taxonomy_v0.1.0,Alley Oop Layup shot,layup,drive_cut_or_roll,"explicit driving, cutting, or alley-oop wording"
context_taxonomy_v0.1.0,Cutting Dunk Shot,dunk,drive_cut_or_roll,"explicit driving, cutting, or alley-oop wording"
context_taxonomy_v0.1.0,Cutting Finger Roll Layup Shot,layup,drive_cut_or_roll,"explicit driving, cutting, or alley-oop wording"
context_taxonomy_v0.1.0,Cutting Layup Shot,layup,drive_cut_or_roll,"explicit driving, cutting, or alley-oop wording"
context_taxonomy_v0.1.0,Driving Bank Hook Shot,hook,drive_cut_or_roll,"explicit driving, cutting, or alley-oop wording"
context_taxonomy_v0.1.0,Driving Dunk Shot,dunk,drive_cut_or_roll,"explicit driving, cutting, or alley-oop wording"
context_taxonomy_v0.1.0,Driving Finger Roll Layup Shot,layup,drive_cut_or_roll,"explicit driving, cutting, or alley-oop wording"
context_taxonomy_v0.1.0,Driving Floating Bank Jump Shot,floater,drive_cut_or_roll,"explicit driving, cutting, or alley-oop wording"
context_taxonomy_v0.1.0,Driving Floating Jump Shot,floater,drive_cut_or_roll,"explicit driving, cutting, or alley-oop wording"
context_taxonomy_v0.1.0,Driving Hook Shot,hook,drive_cut_or_roll,"explicit driving, cutting, or alley-oop wording"
context_taxonomy_v0.1.0,Driving Layup Shot,layup,drive_cut_or_roll,"explicit driving, cutting, or alley-oop wording"
context_taxonomy_v0.1.0,Driving Reverse Dunk Shot,dunk,drive_cut_or_roll,"explicit driving, cutting, or alley-oop wording"
context_taxonomy_v0.1.0,Driving Reverse Layup Shot,layup,drive_cut_or_roll,"explicit driving, cutting, or alley-oop wording"
context_taxonomy_v0.1.0,Dunk Shot,dunk,other_or_unknown,no explicit supported creation cue
context_taxonomy_v0.1.0,Fadeaway Bank shot,fadeaway_or_turnaround,other_or_unknown,no explicit supported creation cue
context_taxonomy_v0.1.0,Fadeaway Jump Shot,fadeaway_or_turnaround,other_or_unknown,no explicit supported creation cue
context_taxonomy_v0.1.0,Finger Roll Layup Shot,layup,other_or_unknown,no explicit supported creation cue
context_taxonomy_v0.1.0,Floating Jump shot,floater,other_or_unknown,no explicit supported creation cue
context_taxonomy_v0.1.0,Hook Bank Shot,hook,other_or_unknown,no explicit supported creation cue
context_taxonomy_v0.1.0,Hook Shot,hook,other_or_unknown,no explicit supported creation cue
context_taxonomy_v0.1.0,Jump Bank Shot,regular_jumper,other_or_unknown,no explicit supported creation cue
context_taxonomy_v0.1.0,Jump Shot,regular_jumper,other_or_unknown,no explicit supported creation cue
context_taxonomy_v0.1.0,Layup Shot,layup,other_or_unknown,no explicit supported creation cue
context_taxonomy_v0.1.0,Pullup Jump shot,regular_jumper,pull_up_or_self_created,explicit pull-up or step-back wording
context_taxonomy_v0.1.0,Putback Dunk Shot,dunk,putback,explicit putback or tip wording
context_taxonomy_v0.1.0,Putback Layup Shot,layup,putback,explicit putback or tip wording
context_taxonomy_v0.1.0,Reverse Dunk Shot,dunk,other_or_unknown,no explicit supported creation cue
context_taxonomy_v0.1.0,Reverse Layup Shot,layup,other_or_unknown,no explicit supported creation cue
context_taxonomy_v0.1.0,Running Alley Oop Dunk Shot,dunk,drive_cut_or_roll,"explicit driving, cutting, or alley-oop wording"
context_taxonomy_v0.1.0,Running Alley Oop Layup Shot,layup,drive_cut_or_roll,"explicit driving, cutting, or alley-oop wording"
context_taxonomy_v0.1.0,Running Dunk Shot,dunk,other_or_unknown,no explicit supported creation cue
context_taxonomy_v0.1.0,Running Finger Roll Layup Shot,layup,other_or_unknown,no explicit supported creation cue
context_taxonomy_v0.1.0,Running Jump Shot,regular_jumper,other_or_unknown,no explicit supported creation cue
context_taxonomy_v0.1.0,Running Layup Shot,layup,other_or_unknown,no explicit supported creation cue
context_taxonomy_v0.1.0,Running Pull-Up Jump Shot,regular_jumper,pull_up_or_self_created,explicit pull-up or step-back wording
context_taxonomy_v0.1.0,Running Reverse Dunk Shot,dunk,other_or_unknown,no explicit supported creation cue
context_taxonomy_v0.1.0,Running Reverse Layup Shot,layup,other_or_unknown,no explicit supported creation cue
context_taxonomy_v0.1.0,Step Back Bank Jump Shot,step_back,pull_up_or_self_created,explicit pull-up or step-back wording
context_taxonomy_v0.1.0,Step Back Jump shot,step_back,pull_up_or_self_created,explicit pull-up or step-back wording
context_taxonomy_v0.1.0,Tip Dunk Shot,dunk,putback,explicit putback or tip wording
context_taxonomy_v0.1.0,Tip Layup Shot,layup,putback,explicit putback or tip wording
context_taxonomy_v0.1.0,Turnaround Bank Hook Shot,hook,other_or_unknown,no explicit supported creation cue
context_taxonomy_v0.1.0,Turnaround Bank shot,fadeaway_or_turnaround,other_or_unknown,no explicit supported creation cue
context_taxonomy_v0.1.0,Turnaround Fadeaway Bank Jump Shot,fadeaway_or_turnaround,other_or_unknown,no explicit supported creation cue
context_taxonomy_v0.1.0,Turnaround Fadeaway shot,fadeaway_or_turnaround,other_or_unknown,no explicit supported creation cue
context_taxonomy_v0.1.0,Turnaround Hook Shot,hook,other_or_unknown,no explicit supported creation cue
context_taxonomy_v0.1.0,Turnaround Jump Shot,fadeaway_or_turnaround,other_or_unknown,no explicit supported creation cue
