source,season,release_year,file,bytes,sha256,accessed,contains_2026_27
NBA ShotChartDetail local extract,2021-22,,data/raw/shots/season=2021-22/shots.parquet,2238375,14faa8fdc46d95490f474e863a285116caeac1be97815b1727b518e92916b5f2,TRUE,FALSE
NBA ShotChartDetail local extract,2022-23,,data/raw/shots/season=2022-23/shots.parquet,2243791,f5cb83ce1d8142ceb1e75997967aeb78266adbf2ae006a995ae916441ae90276,TRUE,FALSE
NBA ShotChartDetail local extract,2023-24,,data/raw/shots/season=2023-24/shots.parquet,2254624,d9f26182a8e49c4cb0d919f0d1a9e8b4320e3b48423f31831846a4e4c9ef7f6f,TRUE,FALSE
NBA ShotChartDetail local extract,2024-25,,data/raw/shots/season=2024-25/shots.parquet,2280505,7a956039fd85ecb8207a3ea8ce1d9383a838432c902085e314cf7b06759067fd,TRUE,FALSE
NBA ShotChartDetail local extract,2025-26,,data/raw/shots/season=2025-26/shots.parquet,2222186,20034e6cc2d87cde6fa84a0258ef36fa39e66ee7e461f4889329d67de767a498,TRUE,FALSE
hoopR SportsDataverse ESPN play-by-play release,2021-22,2022,data/cache/context_edition_audit/play_by_play_2022.rds,24194435,aa8a2da6fd5ca6c2f0e00ee95cd19b0c56dd000ad7d9099f934dcede985c58fe,TRUE,FALSE
hoopR SportsDataverse ESPN play-by-play release,2022-23,2023,data/cache/context_edition_audit/play_by_play_2023.rds,22626434,1a7d60cf352bf3e812420efade6fa666a27365a120f756a789e1efb555577f26,TRUE,FALSE
hoopR SportsDataverse ESPN play-by-play release,2023-24,2024,data/cache/context_edition_audit/play_by_play_2024.rds,22060113,707c25334f387e78dc7a4f13834b6949187cc1537a882315491c22503c51ad54,TRUE,FALSE
hoopR SportsDataverse ESPN play-by-play release,2024-25,2025,data/cache/context_edition_audit/play_by_play_2025.rds,22996150,dd7e833a625f789b97fd03bd1264e5c99c6d17950063ec57288b9e8ae1900310,TRUE,FALSE
hoopR SportsDataverse ESPN play-by-play release,2025-26,2026,data/cache/context_edition_audit/play_by_play_2026.rds,24260852,b646c28e76840498640bc0a9197ce2680b7041a8f21c8613372f9c2a9bc7a850,TRUE,FALSE
frozen taxonomy mapping,,,config/context_edition_taxonomy_v0_1.csv,4253,680393bde5d3606066f04187a4cdff6a902409c018c904c33d7f6588493cbafa,TRUE,FALSE
accepted artifact hash register,,,config/context_edition_accepted_v0_1_2_hashes.csv,3538,5f4f585742348ad4b967130eec43ce8b90adb5e4894f16df4daa698debc3dad0,TRUE,FALSE
canonical build script,,,R/context_edition_build_canonical.R,48992,b68edc8844240f259135d9e6f8df111d7a860f9ffeec9ccc1a9f5da431d54ab7,TRUE,FALSE
