season,linkage_status,shots,share
2021-22,ambiguous_candidate,276,0.0012735209161967866
2021-22,unique_exact,191079,0.8816779099491514
2021-22,unmatched_event,25367,0.11704856913465177
2022-23,ambiguous_candidate,284,0.0013074302550409723
2022-23,unique_exact,194530,0.89554368842648
2022-23,unmatched_event,22406,0.10314888131847896
2023-24,ambiguous_candidate,262,0.0011979881115683584
2023-24,unique_exact,196152,0.8968998628257887
2023-24,unmatched_event,22286,0.10190214906264289
2024-25,ambiguous_candidate,217,9.884888874717006e-4
2024-25,unique_exact,197846,0.9012376609710878
2024-25,unmatched_event,21464,0.09777385014144047
2025-26,ambiguous_candidate,207,9.445154225223581e-4
2025-26,unique_exact,194162,0.8859372148202227
2025-26,unmatched_event,24607,0.11227870049279065
2025-26,unmatched_game,184,8.395692644643183e-4
