season,field,rows,missing_rows,missing_share
2021-22,creation_family,216722,0,0
2021-22,finish_family,216722,0,0
2021-22,location_x_tenths_feet,216722,0,0
2021-22,location_y_tenths_feet,216722,0,0
2021-22,minutes_remaining,216722,0,0
2021-22,period,216722,0,0
2021-22,point_value,216722,0,0
2021-22,score_margin_before,216722,26566,0.12258100239015882
2021-22,seconds_remaining,216722,0,0
2021-22,shooter_home_away,216722,25643,0.11832209005084855
2021-22,shot_distance_feet,216722,0,0
2022-23,creation_family,217220,0,0
2022-23,finish_family,217220,0,0
2022-23,location_x_tenths_feet,217220,0,0
2022-23,location_y_tenths_feet,217220,0,0
2022-23,minutes_remaining,217220,0,0
2022-23,period,217220,0,0
2022-23,point_value,217220,0,0
2022-23,score_margin_before,217220,23517,0.10826351164717797
2022-23,seconds_remaining,217220,0,0
2022-23,shooter_home_away,217220,22690,0.10445631157351994
2022-23,shot_distance_feet,217220,0,0
2023-24,creation_family,218700,0,0
2023-24,finish_family,218700,0,0
2023-24,location_x_tenths_feet,218700,0,0
2023-24,location_y_tenths_feet,218700,0,0
2023-24,minutes_remaining,218700,0,0
2023-24,period,218700,0,0
2023-24,point_value,218700,0,0
2023-24,score_margin_before,218700,23159,0.105893918609968
2023-24,seconds_remaining,218700,0,0
2023-24,shooter_home_away,218700,22548,0.10310013717421125
2023-24,shot_distance_feet,218700,0,0
2024-25,creation_family,219527,0,0
2024-25,finish_family,219527,0,0
2024-25,location_x_tenths_feet,219527,0,0
2024-25,location_y_tenths_feet,219527,0,0
2024-25,minutes_remaining,219527,0,0
2024-25,period,219527,0,0
2024-25,point_value,219527,0,0
2024-25,score_margin_before,219527,21939,0.09993759309788773
2024-25,seconds_remaining,219527,0,0
2024-25,shooter_home_away,219527,21681,0.098762339028912155
2024-25,shot_distance_feet,219527,0,0
2025-26,creation_family,219160,0,0
2025-26,finish_family,219160,0,0
2025-26,location_x_tenths_feet,219160,0,0
2025-26,location_y_tenths_feet,219160,0,0
2025-26,minutes_remaining,219160,0,0
2025-26,period,219160,0,0
2025-26,point_value,219160,0,0
2025-26,score_margin_before,219160,25235,0.11514418689541887
2025-26,seconds_remaining,219160,0,0
2025-26,shooter_home_away,219160,24998,0.11406278517977733
2025-26,shot_distance_feet,219160,0,0
