season,dimension,family,shots,share
2021-22,creation,drive_cut_or_roll,53787,0.24818430985317597
2021-22,creation,other_or_unknown,115482,0.5328577624791208
2021-22,creation,pull_up_or_self_created,38442,0.17737931543636548
2021-22,creation,putback,9011,0.041578612231337846
2021-22,finish,dunk,12528,0.05780677550041066
2021-22,finish,fadeaway_or_turnaround,10650,0.04914129622281079
2021-22,finish,floater,17018,0.07852456141969896
2021-22,finish,hook,6252,0.02884801727558808
2021-22,finish,layup,57412,0.26491080739380407
2021-22,finish,regular_jumper,102475,0.4728407822002381
2021-22,finish,step_back,10387,0.04792775998744936
2022-23,creation,drive_cut_or_roll,57897,0.2665362305496731
2022-23,creation,other_or_unknown,109383,0.5035586041800939
2022-23,creation,pull_up_or_self_created,40348,0.18574716876898997
2022-23,creation,putback,9592,0.04415799650124298
2022-23,finish,dunk,13078,0.06020624251910506
2022-23,finish,fadeaway_or_turnaround,10593,0.04876622778749655
2022-23,finish,floater,18933,0.08716048246017861
2022-23,finish,hook,6656,0.03064174569560814
2022-23,finish,layup,58784,0.2706196482828469
2022-23,finish,regular_jumper,98644,0.4541202467544425
2022-23,finish,step_back,10532,0.04848540650032225
2023-24,creation,drive_cut_or_roll,58429,0.2671650663008688
2023-24,creation,other_or_unknown,110470,0.5051211705532693
2023-24,creation,pull_up_or_self_created,39992,0.18286236854138088
2023-24,creation,putback,9809,0.044851394604481024
2023-24,finish,dunk,13019,0.05952903520804755
2023-24,finish,fadeaway_or_turnaround,11383,0.05204846822130773
2023-24,finish,floater,18348,0.0838957475994513
2023-24,finish,hook,6535,0.02988111568358482
2023-24,finish,layup,59931,0.2740329218106996
2023-24,finish,regular_jumper,98373,0.4498079561042524
2023-24,finish,step_back,11111,0.05080475537265661
2024-25,creation,drive_cut_or_roll,61558,0.28041197665890755
2024-25,creation,other_or_unknown,106766,0.4863456431327354
2024-25,creation,pull_up_or_self_created,41287,0.18807253777439678
2024-25,creation,putback,9916,0.045169842433960286
2024-25,finish,dunk,13379,0.060944667398543234
2024-25,finish,fadeaway_or_turnaround,9976,0.04544315733372205
2024-25,finish,floater,20798,0.09474005475408492
2024-25,finish,hook,6017,0.02740892919777522
2024-25,finish,layup,57810,0.2633389059204563
2024-25,finish,regular_jumper,99105,0.4514478856814879
2024-25,finish,step_back,12442,0.0566763997139304
2025-26,creation,drive_cut_or_roll,60586,0.276446431830626
2025-26,creation,other_or_unknown,107628,0.4910932651943785
2025-26,creation,pull_up_or_self_created,41031,0.18721938309910569
2025-26,creation,putback,9915,0.04524091987588976
2025-26,finish,dunk,13474,0.06148019711626209
2025-26,finish,fadeaway_or_turnaround,10981,0.05010494615805804
2025-26,finish,floater,19119,0.0872376346048549
2025-26,finish,hook,5681,0.025921701040335827
2025-26,finish,layup,57782,0.2636521263004198
2025-26,finish,regular_jumper,100757,0.45974174119364847
2025-26,finish,step_back,11366,0.05186165358642088
