check_id,passed,observed,expected,scope
canonical_branch_recovered,TRUE,codex/context-edition-canonical-contract@69610c3,codex/context-edition-canonical-contract@69610c3,pre_branch
canonical_schema_unchanged,TRUE,context_field_goal_v0.1.2,context_field_goal_v0.1.2,canonical_contract
taxonomy_unchanged,TRUE,context_taxonomy_v0.1.0,context_taxonomy_v0.1.0,canonical_contract
join_specification_unchanged,TRUE,shotchart_espn_exact_clock_player_v0.1.1,shotchart_espn_exact_clock_player_v0.1.1,canonical_contract
canonical_rows,TRUE,433942,433942,canonical_contract
canonical_sha256,TRUE,292eba28ce0a37788945312169c0986c60bc9db5c6308d322bf5f8e073b2ded7,292eba28ce0a37788945312169c0986c60bc9db5c6308d322bf5f8e073b2ded7,canonical_contract
aggregate_payload_hashes,TRUE,18,18,canonical_contract
model_fits_created,TRUE,0,0,protected_scope
validation_outcomes_accessed,TRUE,FALSE,FALSE,protected_scope
prospective_2026_27_accessed,TRUE,FALSE,FALSE,protected_scope
shot_level_rows_written,TRUE,0,0,git_output
dependencies_added,TRUE,0,0,environment
