model_id,bin_id,shots,mean_prediction,observed_make_rate,signed_gap_observed_minus_predicted,absolute_gap
M1,1,21870,0.3288168179498774,0.348559670781893,0.0197428528320156,0.0197428528320156
M1,2,21870,0.3493850172335867,0.35541838134430725,0.006033364110720529,0.006033364110720529
M1,3,21870,0.36550362901119643,0.3741197988111568,0.008616169799960383,0.008616169799960383
M1,4,21870,0.38528015333838567,0.38916323731138547,0.0038830839729998012,0.0038830839729998012
M1,5,21870,0.4148960257919738,0.4186556927297668,0.0037596669377930048,0.0037596669377930048
M1,6,21870,0.44709906814810585,0.44417009602194785,-0.0029289721261580026,0.0029289721261580026
M1,7,21870,0.4996970333970139,0.50173754000914494,0.0020405066121310655,0.0020405066121310655
M1,8,21870,0.5520285224985384,0.5497485139460448,-0.002280008552493551,0.002280008552493551
M1,9,21870,0.5805502880924608,0.5787379972565158,-0.0018122908359450296,0.0018122908359450296
M1,10,21870,0.778925944018048,0.7831275720164609,0.004201627998412838,0.004201627998412838
M2,1,21870,0.3069732926614738,0.32688614540466393,0.019912852743190157,0.019912852743190157
M2,2,21870,0.343606761813455,0.35820759030635574,0.01460082849290073,0.01460082849290073
M2,3,21870,0.3634471861083111,0.3787379972565158,0.015290811148204686,0.015290811148204686
M2,4,21870,0.3824825935760756,0.3936442615454961,0.011161667969420475,0.011161667969420475
M2,5,21870,0.4031296498869344,0.40987654320987654,0.006746893322942149,0.006746893322942149
M2,6,21870,0.42991790020513476,0.4282578875171468,-0.0016600126879879884,0.0016600126879879884
M2,7,21870,0.47772054023977134,0.4531321444901692,-0.024588395749602143,0.024588395749602143
M2,8,21870,0.5538595064697762,0.5354366712391404,-0.018422835230635815,0.018422835230635815
M2,9,21870,0.6207644184739675,0.6328303612254229,0.01206594275145545,0.01206594275145545
M2,10,21870,0.808003780633488,0.8264288980338363,0.018425117400348356,0.018425117400348356
