season,distance_band,shots,share
2021-22,restricted_0_to_under_4,62987,0.29063500706
2021-22,other_paint_4_to_under_10,31412,0.144941445723
2021-22,midrange_10_to_under_22,34934,0.161192680023
2021-22,three_point_distance_22_to_under_30,85201,0.393134983989
2021-22,long_heave_30_plus,2188,0.010095883205
2022-23,restricted_0_to_under_4,64983,0.299157536138
2022-23,other_paint_4_to_under_10,33246,0.153052205138
2022-23,midrange_10_to_under_22,34056,0.156781143541
2022-23,three_point_distance_22_to_under_30,82925,0.381755823589
2022-23,long_heave_30_plus,2010,0.009253291594
2023-24,restricted_0_to_under_4,64669,0.295697302241
2023-24,other_paint_4_to_under_10,34149,0.156145404664
2023-24,midrange_10_to_under_22,32797,0.14996342021
2023-24,three_point_distance_22_to_under_30,85057,0.388920896205
2023-24,long_heave_30_plus,2028,0.00927297668
2024-25,restricted_0_to_under_4,61190,0.278735645274
2024-25,other_paint_4_to_under_10,35469,0.161570102994
2024-25,midrange_10_to_under_22,29659,0.135104110201
2024-25,three_point_distance_22_to_under_30,90474,0.412131537351
2024-25,long_heave_30_plus,2735,0.012458604181
2025-26,restricted_0_to_under_4,62253,0.284052746852
2025-26,other_paint_4_to_under_10,34311,0.15655685344
2025-26,midrange_10_to_under_22,30871,0.140860558496
2025-26,three_point_distance_22_to_under_30,89892,0.410166088702
2025-26,long_heave_30_plus,1833,0.00836375251
