x,y,zone_id,n
-7.5,-52.5,paint_center,2
2.5,-52.5,paint_center,1
7.5,-52.5,paint_center,2
17.5,-52.5,paint_center,3
-247.5,-47.5,corner3_left,1
-237.5,-47.5,corner3_left,1
-232.5,-47.5,corner3_left,1
-227.5,-47.5,corner3_left,1
-222.5,-47.5,corner3_left,3
-197.5,-47.5,midrange_left,1
-82.5,-47.5,midrange_left,1
-22.5,-47.5,paint_center,1
-17.5,-47.5,paint_center,2
-12.5,-47.5,paint_center,1
-7.5,-47.5,paint_center,3
-2.5,-47.5,paint_center,1
2.5,-47.5,paint_center,2
7.5,-47.5,paint_center,1
12.5,-47.5,paint_center,1
27.5,-47.5,paint_center,2
177.5,-47.5,midrange_right,1
232.5,-47.5,corner3_right,2
237.5,-47.5,corner3_right,1
-242.5,-42.5,corner3_left,1
-237.5,-42.5,corner3_left,4
-232.5,-42.5,corner3_left,11
-227.5,-42.5,corner3_left,17
-222.5,-42.5,corner3_left,9
-117.5,-42.5,midrange_left,1
-102.5,-42.5,midrange_left,1
87.5,-42.5,midrange_right,1
102.5,-42.5,midrange_right,1
107.5,-42.5,midrange_right,1
112.5,-42.5,midrange_right,1
117.5,-42.5,midrange_right,1
122.5,-42.5,midrange_right,2
152.5,-42.5,midrange_right,1
227.5,-42.5,corner3_right,1
232.5,-42.5,corner3_right,2
-247.5,-37.5,corner3_left,1
-242.5,-37.5,corner3_left,1
-237.5,-37.5,corner3_left,8
-232.5,-37.5,corner3_left,21
-227.5,-37.5,corner3_left,42
-222.5,-37.5,corner3_left,28
-217.5,-37.5,midrange_left,1
-202.5,-37.5,midrange_left,1
-192.5,-37.5,midrange_left,1
-187.5,-37.5,midrange_left,1
-182.5,-37.5,midrange_left,2
-142.5,-37.5,midrange_left,1
-132.5,-37.5,midrange_left,1
-117.5,-37.5,midrange_left,2
-107.5,-37.5,midrange_left,1
-87.5,-37.5,midrange_left,1
-82.5,-37.5,midrange_left,1
-72.5,-37.5,paint_left,1
-17.5,-37.5,restricted_area,1
-7.5,-37.5,paint_center,1
12.5,-37.5,restricted_area,1
57.5,-37.5,paint_center,1
122.5,-37.5,midrange_right,2
127.5,-37.5,midrange_right,2
132.5,-37.5,midrange_right,3
152.5,-37.5,midrange_right,1
162.5,-37.5,midrange_right,1
182.5,-37.5,midrange_right,2
222.5,-37.5,corner3_right,6
227.5,-37.5,corner3_right,4
232.5,-37.5,corner3_right,4
237.5,-37.5,corner3_right,7
247.5,-37.5,corner3_right,2
-247.5,-32.5,corner3_left,1
-242.5,-32.5,corner3_left,10
-237.5,-32.5,corner3_left,25
-232.5,-32.5,corner3_left,88
-227.5,-32.5,corner3_left,130
-222.5,-32.5,corner3_left,55
-207.5,-32.5,midrange_left,3
-202.5,-32.5,midrange_left,1
-197.5,-32.5,midrange_left,1
-182.5,-32.5,midrange_left,3
-177.5,-32.5,midrange_left,2
-172.5,-32.5,midrange_left,2
-157.5,-32.5,midrange_left,1
-142.5,-32.5,midrange_left,1
-137.5,-32.5,midrange_left,2
-122.5,-32.5,midrange_left,3
-112.5,-32.5,midrange_left,2
-107.5,-32.5,midrange_left,1
-97.5,-32.5,midrange_left,1
-92.5,-32.5,midrange_left,2
-82.5,-32.5,midrange_left,1
-47.5,-32.5,paint_center,2
-42.5,-32.5,paint_center,1
-27.5,-32.5,paint_center,1
-22.5,-32.5,paint_center,1
-12.5,-32.5,restricted_area,1
-2.5,-32.5,restricted_area,1
42.5,-32.5,paint_center,1
57.5,-32.5,paint_center,1
62.5,-32.5,paint_center,1
72.5,-32.5,paint_center,1
77.5,-32.5,paint_right,1
82.5,-32.5,midrange_right,1
87.5,-32.5,midrange_right,3
92.5,-32.5,midrange_right,2
107.5,-32.5,midrange_right,2
112.5,-32.5,midrange_right,2
122.5,-32.5,midrange_right,1
127.5,-32.5,midrange_right,1
132.5,-32.5,midrange_right,1
137.5,-32.5,midrange_right,3
142.5,-32.5,midrange_right,4
147.5,-32.5,midrange_right,1
152.5,-32.5,midrange_right,3
167.5,-32.5,midrange_right,1
172.5,-32.5,midrange_right,2
182.5,-32.5,midrange_right,1
187.5,-32.5,midrange_right,2
212.5,-32.5,midrange_right,1
222.5,-32.5,corner3_right,9
227.5,-32.5,corner3_right,31
232.5,-32.5,corner3_right,21
237.5,-32.5,corner3_right,15
242.5,-32.5,corner3_right,2
247.5,-32.5,corner3_right,1
252.5,-32.5,corner3_right,1
-247.5,-27.5,corner3_left,1
-242.5,-27.5,corner3_left,15
-237.5,-27.5,corner3_left,69
-232.5,-27.5,corner3_left,164
-227.5,-27.5,corner3_left,229
-222.5,-27.5,corner3_left,107
-217.5,-27.5,midrange_left,2
-212.5,-27.5,midrange_left,1
-207.5,-27.5,midrange_left,2
-202.5,-27.5,midrange_left,3
-197.5,-27.5,midrange_left,2
-192.5,-27.5,midrange_left,2
-187.5,-27.5,midrange_left,3
-182.5,-27.5,midrange_left,2
-177.5,-27.5,midrange_left,1
-162.5,-27.5,midrange_left,3
-157.5,-27.5,midrange_left,3
-152.5,-27.5,midrange_left,1
-147.5,-27.5,midrange_left,1
-142.5,-27.5,midrange_left,3
-137.5,-27.5,midrange_left,4
-132.5,-27.5,midrange_left,5
-127.5,-27.5,midrange_left,4
-122.5,-27.5,midrange_left,7
-117.5,-27.5,midrange_left,5
-112.5,-27.5,midrange_left,3
-107.5,-27.5,midrange_left,4
-102.5,-27.5,midrange_left,2
-97.5,-27.5,midrange_left,6
-92.5,-27.5,midrange_left,4
-87.5,-27.5,midrange_left,1
-82.5,-27.5,midrange_left,1
-77.5,-27.5,paint_left,2
-72.5,-27.5,paint_center,1
-72.5,-27.5,paint_left,1
-67.5,-27.5,paint_center,1
-62.5,-27.5,paint_center,1
-47.5,-27.5,paint_center,2
-27.5,-27.5,restricted_area,1
-22.5,-27.5,restricted_area,1
-17.5,-27.5,restricted_area,1
-7.5,-27.5,restricted_area,3
-2.5,-27.5,restricted_area,1
2.5,-27.5,restricted_area,5
7.5,-27.5,restricted_area,1
17.5,-27.5,restricted_area,2
22.5,-27.5,restricted_area,2
32.5,-27.5,paint_center,1
37.5,-27.5,paint_center,1
47.5,-27.5,paint_center,2
72.5,-27.5,paint_center,2
77.5,-27.5,paint_center,1
77.5,-27.5,paint_right,2
87.5,-27.5,midrange_right,2
92.5,-27.5,midrange_right,1
97.5,-27.5,midrange_right,6
102.5,-27.5,midrange_right,4
107.5,-27.5,midrange_right,3
112.5,-27.5,midrange_right,3
117.5,-27.5,midrange_right,2
122.5,-27.5,midrange_right,3
127.5,-27.5,midrange_right,5
132.5,-27.5,midrange_right,6
137.5,-27.5,midrange_right,2
142.5,-27.5,midrange_right,7
147.5,-27.5,midrange_right,5
152.5,-27.5,midrange_right,5
157.5,-27.5,midrange_right,5
162.5,-27.5,midrange_right,6
167.5,-27.5,midrange_right,1
172.5,-27.5,midrange_right,4
177.5,-27.5,midrange_right,2
182.5,-27.5,midrange_right,2
192.5,-27.5,midrange_right,1
202.5,-27.5,midrange_right,2
207.5,-27.5,midrange_right,2
217.5,-27.5,midrange_right,3
222.5,-27.5,corner3_right,26
227.5,-27.5,corner3_right,70
232.5,-27.5,corner3_right,78
237.5,-27.5,corner3_right,32
242.5,-27.5,corner3_right,10
247.5,-27.5,corner3_right,1
-247.5,-22.5,corner3_left,7
-242.5,-22.5,corner3_left,24
-237.5,-22.5,corner3_left,118
-232.5,-22.5,corner3_left,359
-227.5,-22.5,corner3_left,387
-222.5,-22.5,corner3_left,194
-217.5,-22.5,midrange_left,5
-212.5,-22.5,midrange_left,2
-207.5,-22.5,midrange_left,3
-202.5,-22.5,midrange_left,8
-197.5,-22.5,midrange_left,7
-192.5,-22.5,midrange_left,3
-187.5,-22.5,midrange_left,2
-182.5,-22.5,midrange_left,3
-177.5,-22.5,midrange_left,3
-172.5,-22.5,midrange_left,3
-167.5,-22.5,midrange_left,1
-162.5,-22.5,midrange_left,6
-157.5,-22.5,midrange_left,6
-152.5,-22.5,midrange_left,6
-147.5,-22.5,midrange_left,8
-142.5,-22.5,midrange_left,8
-137.5,-22.5,midrange_left,6
-132.5,-22.5,midrange_left,8
-127.5,-22.5,midrange_left,11
-122.5,-22.5,midrange_left,5
-117.5,-22.5,midrange_left,12
-112.5,-22.5,midrange_left,11
-107.5,-22.5,midrange_left,6
-102.5,-22.5,midrange_left,3
-97.5,-22.5,midrange_left,7
-92.5,-22.5,midrange_left,4
-87.5,-22.5,midrange_left,5
-82.5,-22.5,midrange_left,2
-77.5,-22.5,paint_center,1
-77.5,-22.5,paint_left,2
-72.5,-22.5,paint_center,1
-67.5,-22.5,paint_center,2
-62.5,-22.5,paint_center,5
-57.5,-22.5,paint_center,1
-52.5,-22.5,paint_center,3
-47.5,-22.5,paint_center,2
-42.5,-22.5,paint_center,3
-37.5,-22.5,paint_center,4
-32.5,-22.5,paint_center,1
-32.5,-22.5,restricted_area,1
-17.5,-22.5,restricted_area,6
-12.5,-22.5,restricted_area,3
-7.5,-22.5,restricted_area,2
-2.5,-22.5,restricted_area,5
2.5,-22.5,restricted_area,6
7.5,-22.5,restricted_area,10
12.5,-22.5,restricted_area,2
17.5,-22.5,restricted_area,3
32.5,-22.5,paint_center,1
32.5,-22.5,restricted_area,2
37.5,-22.5,paint_center,2
42.5,-22.5,paint_center,1
47.5,-22.5,paint_center,8
52.5,-22.5,paint_center,1
57.5,-22.5,paint_center,1
62.5,-22.5,paint_center,1
72.5,-22.5,paint_center,1
77.5,-22.5,paint_right,2
82.5,-22.5,midrange_right,3
82.5,-22.5,paint_right,1
87.5,-22.5,midrange_right,7
92.5,-22.5,midrange_right,9
97.5,-22.5,midrange_right,8
102.5,-22.5,midrange_right,9
107.5,-22.5,midrange_right,10
112.5,-22.5,midrange_right,9
117.5,-22.5,midrange_right,10
122.5,-22.5,midrange_right,8
127.5,-22.5,midrange_right,8
132.5,-22.5,midrange_right,12
137.5,-22.5,midrange_right,5
142.5,-22.5,midrange_right,10
147.5,-22.5,midrange_right,3
152.5,-22.5,midrange_right,9
157.5,-22.5,midrange_right,6
162.5,-22.5,midrange_right,3
167.5,-22.5,midrange_right,4
172.5,-22.5,midrange_right,4
177.5,-22.5,midrange_right,7
182.5,-22.5,midrange_right,3
187.5,-22.5,midrange_right,5
192.5,-22.5,midrange_right,3
197.5,-22.5,midrange_right,6
202.5,-22.5,midrange_right,2
207.5,-22.5,midrange_right,2
212.5,-22.5,midrange_right,1
217.5,-22.5,midrange_right,4
